word,meaning,order,numbering
1,有起点和终点的一段时间。 ,1,1_1
1,时刻。 ,2,1_2
1,由过去、现在和将来构成的连续不断的系统。 ,3,1_3
1,一天的二十四分之一，六十分钟。,4,1_4
2,商品或服务价值的货币表现。,1,2_1
3,电话机。 ,1,3_1
3,利用电话机进行交谈。,2,3_2
4,地球上所有的地方。 ,1,4_1
4,某些特定的人或集团、社会及领域。 ,2,4_2
4,特定的领域及范畴。,3,4_3
5,表示数量、程度等在某一标准之上。 ,1,5_1
5,前面所说或所写的内容。 ,2,5_2
5,用于话语或文件的末尾，表示“结束”。 ,3,5_3
5,(用于谓词的定语形之后)表示某件事已经发生。 ,4,5_4
5,前面所列数量的总和。,5,5_5
6,买卖的物品。,1,6_1
7,历史上依据某种标准而划分的时期。 ,1,7_1
7,当前的时期或成为问题的那一时期。 ,2,7_2
7,个人生命中的某个时期。 ,3,7_3
7,时间过去较远，有陈旧之感。,4,7_4
8,艺术创作的成果。 ,1,8_1
8,比喻那些虽不是艺术作品，但观赏价值高的。 C J K,2,8_2
9,不可缺少；非这样不可。,1,9_1
10,不经人为开发、改变的状态或场所。 ,1,10_1
10,不经人力干预，自由发展。 ,2,10_2
10,不呆板、不拘束。,3,10_3
11,为了达到某种目的，利用某种物体或手段。,1,11_1
12,通过人的嗓音或乐器等方式，用节奏、旋律等展现出悦耳声音的艺术。,1,12_1
13,人或动物在一定的环境下为了生存发展而进行的各种活动。 ,1,13_1
13,为了生存置办衣、食、住、行等方面的物品；生计。 ,2,13_2
13,（用于）从事某种职业的生活。,3,13_3
14,要求解答的题目。 ,1,14_1
14,须加以研究、讨论并解决的对象。 ,2,14_2
14,麻烦或事端。,3,14_3
15,可以实现的或能实现的。 ,1,15_1
15,可能性。 ,2,15_2
15,a助动b 表示估计，不太确定。,3,15_3
16,两种以上事物或现象之间存在的联系。 ,1,16_1
16,人与人之间的联系。 ,2,16_2
16,一种事物或一件事对另一种事物或另一件事所产生的影响。 ,3,16_3
16,婉转地表示性交。 ,4,16_4
16,表示原因。 ,5,16_5
16,干涉或介入某件事。,6,16_6
17,目前的这个时间。 ,1,17_1
17,目前。,2,17_2
18,实施高等教育的教育机关。 ,1,18_1
18,以一般人为对象实施教育的教育机关或教育课程。,2,18_2
19,借助他人或事物来获取自己的利益。 ,1,19_1
19,根据需要，合理地使用。,2,19_2
20,由某种行为产生的好结果。 ,1,20_1
20,话剧、电影中人工制造的逼真的声音、灯光、图像等。,2,20_2
21,把整体分成几个个体，其中的一些个体。,1,21_1
22,为达到目的而采用的手段。,1,22_1
23,为获得利益，店铺、公司等经营的业务。,1,23_1
24,关于某一对象的情况、消息等。,1,24_1
25,与众不同，不一般。,1,25_1
26,盼望做某件事或出现某种情况。 ,1,26_1
26,抱有今后会更好的想法。 ,2,26_2
26,今后会更好的可能性。,3,26_3
27,某个特定集团所共享的思考、行动及生活方式等。 ,1,27_1
27,学问、艺术、宗教等精神财富及以此为基础的生活方式。,2,27_2
28,在生产某物或完成某事时所需的能力和技巧。,1,28_1
29,使其他事情成为可能的；重要的。 ,1,29_1
29,原则上的；大体上的。,2,29_2
30,话语、文章、行动等所具有的意思。 ,1,30_1
30,行为的价值或意义。,2,30_2
31,机械、设备不凭借人力而运转、操作的。 ,1,31_1
31,某件事情不经过充分的考虑或选择而实现的。,2,31_2
32,文章或影视作品中的东西。 ,1,32_1
32,碗、箱子或盒子里盛放的东西。,2,32_2
33,不受约束，可随自己的意志去行动的状态。,1,33_1
34,内容少、容易或结构单纯。,1,34_1
35,事物或组织的中间部分。 ,1,35_1
35,多个事物中最重要的。 ,2,35_2
35,为了进行某种活动而设立的机构或场所。 ,3,35_3
35,坚定的立场与信念。,4,35_4
36,离现在最近的时间。,1,36_1
37,加入某种或参加某种活动。,1,37_1
38,男人与女人结为夫妻。,1,38_1
39,普通、平常的。 ,1,39_1
39,同样，一样。,2,39_2
40,人类在共同的政治体制下，受到共同规范的制约，共同生活的整体。 ,1,40_1
40,有共同兴趣、爱好及取向相似的群体。,2,40_2
41,多人共同集资，补偿因事故、伤害等造成损失的契约关系。 ,1,41_1
41,安全可靠。 ,2,41_2
41,保证。,3,41_3
42,对学生进行教育的机构。,1,42_1
