word,sound,numbering
时间,shíjiān,1
价格,jiàgé,2
电话,diànhuà,3
世界,shìjiè,4
以上,yǐshàng,5
商品,shāngpǐn,6
时代,shídài,7
作品,zuòpǐn,8
必要,bìyào,9
自然,zìrán,10
使用,shǐyòng,11
音乐,yīnyuè,12
生活,shēnghuó,13
问题,wèntí,14
可能,kěnéng,15
关系,guānxì,16
现在,xiànzài,17
大学,dàxué,18
利用,lìyòng,19
效果,xiàoguǒ,20
部分,bùfen,21
方法,fāngfǎ,22
营业,yíngyè,23
情报,qíngbào,24
特别,tèbié,25
希望,xīwàng,26
文化,wénhuà,27
技术,jìshù,28
基本,jīběn,29
意味,yìwèi,30
自动,zìdòng,31
内容,nèiróng,32
自由,zìyóu,33
简单,jiǎndān,34
中心,zhōngxīn,35
最近,zuìjìn,36
参加,cānjiā,37
结婚,jiéhūn,38
一般,yìbān,39
社会,shèhuì,40
保险,bǎoxiǎn,41
学校,xuéxiào,42
开发,kāifā,43
先生,xiānsheng,44
程度,chéngdù,45
大会,dàhuì,46
发表,fābiǎo,47
印象,yìnxiàng,48
结果,jiéguǒ,49
存在,cúnzài,50
最初,zuìchū,51
装备,zhuāngbèi,52
消费,xiāofèi,53
采用,cǎiyòng,54
全体,quántǐ,55
飞行,fēixíng,56
国际,guójì,57
企业,qǐyè,58
专门,zhuānmén,59
中央,zhōngyāng,60
普通,pǔtōng,61
经济,jīngjì,62
现代,xiàndài,63
当时,dāngshí,64
实际,shíjì,65
学生,xuésheng,66
银行,yínháng,67
旅行,lǚxíng,68
以下,yǐxià,69
说明,shuōmíng,70
感觉,gǎnjué,71
经验,jīngyàn,72
活跃,huóyuè,73
代表,dàibiǎo,74
通信,tōngxìn,75
主人,zhǔrén,76
安心,ānxīn,77
以外,yǐwài,78
表现,biǎoxiàn,79
意识,yìshí,80
非常,fēicháng,81
活动,huódòng,82
运动,yùndòng,83
新闻,xīnwén,84
理由,lǐyóu,85
指导,zhǐdǎo,86
实现,shíxiàn,87
家庭,jiātíng,88
变化,biànhuà,89
位置,wèizhì,90
种类,zhǒnglèi,91
完全,wánquán,92
资料,zīliào,93
同时,tóngshí,94
个人,gèrén,95
政治,zhèngzhì,96
完成,wánchéng,97
设计,shèjì,98
表示,biǎoshì,99
艺术,yìshù,100
发行,fāxíng,101
决定,juédìng,102
重要,zhòngyào,103
评价,píngjià,104
是非,shìfēi,105
方式,fāngshì,106
有名,yǒumíng,107
制品,zhìpǐn,108
当然,dāngrán,109
目的,mùdì,110
材料,cáiliào,111
时期,shíqī,112
注意,zhùyì,113
传统,chuántǒng,114
以前,yǐqián,115
处理,chǔlǐ,116
能力,nénglì,117
方向,fāngxiàng,118
交通,jiāotōng,119
读者,dúzhě,120
丰富,fēngfù,121
季节,jìjié,122
世纪,shìjì,123
构成,gòuchéng,124
原因,yuányīn,125
食品,shípǐn,126
直接,zhíjiē,127
平均,píngjūn,128
美术,měishù,129
教育,jiàoyù,130
事业,shìyè,131
事实,shìshí,132
文字,wénzì,133
事件,shìjiàn,134
请求,qǐngqiú,135
对象,duìxiàng,136
安定,āndìng,137
安全,ānquán,138
管理,guǎnlǐ,139
以来,yǐlái,140
选择,xuǎnzé,141
诞生,dànshēng,142
地区,dìqū,143
指挥,zhǐhuī,144
女子,nǚzǐ,145
地方,dìfāng,146
展开,zhǎnkāi,147
有效,yǒuxiào,148
成分,chéngfèn,149
构造,gòuzào,150
成功,chénggōng,151
精神,jīngshen,152
实施,shíshī,153
演出,yǎnchū,154
观测,guāncè,155
生产,shēngchǎn,156
理解,lǐjiě,157
出版,chūbǎn,158
调整,tiáozhěng,159
交换,jiāohuàn,160
前后,qiánhòu,161
少年,shàonián,162
费用,fèiyong,163
日常,rìcháng,164
作业,zuòyè,165
集中,jízhōng,166
小说,xiǎoshuō,167
全部,quánbù,168
现实,xiànshí,169
个性,gèxìng,170
比较,bǐjiào,171
表情,biǎoqíng,172
经营,jīngyíng,173
市场,shìchǎng,174
职业,zhíyè,175
不安,bù’ān,176
外国,wàiguó,177
各种,gèzhǒng,178
将来,jiānglái,179
战争,zhànzhēng,180
成长,chéngzhǎng,181
公园,gōngyuán,182
治疗,zhìliáo,183
自信,zìxìn,184
满足,mǎnzú,185
倾向,qīngxiàng,186
作家,zuòjiā,187
电子,diànzǐ,188
过去,guòqù,189
空间,kōngjiān,190
生命,shēngmìng,191
道路,dàolù,192
意见,yìjiàn,193
记忆,jìyì,194
操作,cāozuò,195
书店,shūdiàn,196
计算,jìsuàn,197
地球,dìqiú,198
责任,zérèn,199
目标,mùbiāo,200
左右,zuǒyòu,201
政府,zhèngfǔ,202
配合,pèihé,203
行动,xíngdòng,204
国民,guómín,205
文学,wénxué,206
感动,gǎndòng,207
新鲜,xīnxiān,208
地下,dìxià,209
形式,xíngshì,210
公开,gōngkāi,211
事故,shìgù,212
积极,jījí,213
制作,zhìzuò,214
天然,tiānrán,215
移动,yídòng,216
动物,dòngwù,217
不足,bùzú,218
科学,kēxué,219
太阳,tàiyáng,220
燃料,ránliào,221
工夫,gōngfu,222
数字,shùzì,223
工业,gōngyè,224
参考,cānkǎo,225
性格,xìnggé,226
实行,shíxíng,227
速度,sùdù,228
努力,nǔlì,229
理想,lǐxiǎng,230
机会,jīhuì,231
出发,chūfā,232
植物,zhíwù,233
豆腐,dòufu,234
记录,jìlù,235
详细,xiángxì,236
政权,zhèngquán,237
风景,fēngjǐng,238
报告,bàogào,239
建筑,jiànzhù,240
判断,pànduàn,241
反对,fǎnduì,242
业务,yèwù,243
自己,zìjǐ,244
少女,shàonǚ,245
知识,zhīshi,246
土地,tǔdì,247
保护,bǎohù,248
医疗,yīliáo,249
确实,quèshí,250
设备,shèbèi,251
基础,jīchǔ,252
宇宙,yǔzhòu,253
高原,gāoyuán,254
制度,zhìdù,255
