meaning,example,order,word,numbering
1_1,勤務時間,1,1,1_1_1
1_1,その仕事には時間がかかる。,2,1,1_1_2
1_1,地球が一周自転するのにかかる時間は24時間だ。,3,1,1_1_3
1_2,飛行機の到着時間を教えてください。,1,1,1_2_1
1_2,約束の時間に遅れた。,2,1,1_2_2
1_2,現在の時間は3時15分だ。,3,1,1_2_3
1_3,時間の流れ,1,1,1_3_1
1_3,それから長い時間が立った。,2,1,1_3_2
1_3,時間は待ってはくれない。,3,1,1_3_3
1_4,空港まで2時間かかる。,1,1,1_4_1
2_1,適正価格,1,2,2_1_1
2_1,価格が上昇する,2,2,2_1_2
2_1,普通の学生はそんなに 高価な/値段の高い/高い値段の ものは買えない。 *値段(ねだん),3,2,2_1_3
3_1,公衆電話,1,3,3_1_1
3_1,携帯電話,2,3,3_1_2
3_1,電話番号,3,3,3_1_3
3_1,電話を引く,4,3,3_1_4
3_2,電話(を)する/かける,1,3,3_2_1
3_2,電話に出る,2,3,3_2_2
3_2,彼はいつも夜、電話でおしゃべりをする。,3,3,3_2_3
4_1,世界の人口,1,4,4_1_1
4_1,世界を旅する,2,4,4_1_2
4_2,荒くれ者の世界では、拳が即ち法である。,1,4,4_2_1
4_2,詩人の世界では、夢は子供たちだけのものだ。,2,4,4_2_2
4_3,子供たちはいつも未知の世界に憧れ夢見る。,1,4,4_3_1
4_3,この小説は人間の内面世界を描いた。,2,4,4_3_2
4_3,盲人は見ることはできないが、彼らの内面世界は多彩である。,3,4,4_3_3
5_1,部長級以上のリーダー,1,5,5_1_1
5_1,年齢が65歳以上の人は入場料が無料である。,2,5,5_1_2
5_1,5階以上の家は、歩いて上がるのが難しい。,3,5,5_1_3
5_2,以上の議論を簡潔に要約すれば次のようになる。,1,5,5_2_1
5_2,以上のとおり相違ありません。,2,5,5_2_2
5_2,我々は以上の3つの要求を明確にしようと思う。,3,5,5_2_3
5_3,明日、忘れず時間どおりに学校に来ること。以上！,1,5,5_3_1
5_3,（学会発表の最後に）以上です。,2,5,5_3_2
5_4,事がこうなった以上、我々も譲歩することはできない。,1,5,5_4_1
5_4,決定した以上、変更しない。 *已上,2,5,5_4_2
5_5,参加者は韓国人10名、日本人5名、中国人5名、以上20名です。,1,5,5_5_1
5_5,男性8名、女性5名、以上13名。,2,5,5_5_2
6_1,目玉商品,1,6,6_1_1
6_1,商品を販売する,2,6,6_1_2
6_1,商品を陳列する,3,6,6_1_3
6_1,デパートにはあらゆる商品が揃っている。,4,6,6_1_4
6_1,建物もマーケティング戦略により商品価値を高めることができる。,5,6,6_1_5
7_1,朝鮮時代/高麗時代/三国時代,1,7,7_1_1
7_1,そういうことは歴史のいつの時代にもあった。,2,7,7_1_2
7_1,現代は努力しなければすぐに他人に遅れてしまう時代である。,3,7,7_1_3
7_2,時代遅れ,1,7,7_2_1
7_2,時代の先駆け,2,7,7_2_2
7_2,ビジョンのある人だけが、時代の先を行くことができる。,3,7,7_2_3
7_3,青春時代,1,7,7_3_1
7_3,私は子供時代に帰りたい。,2,7,7_3_2
7_3,彼の 少年/子供 時代の夢は世界中を旅することだった。,3,7,7_3_3
7_4,時代のついた時計,1,7,7_4_1
7_4,時代劇,2,7,7_4_2
7_4,時代物の服,3,7,7_4_3
8_1,文学作品,1,8,8_1_1
8_1,工芸作品,2,8,8_1_2
8_1,その小説は文学史に残る立派な作品だ。,3,8,8_1_3
8_1,私は張愛玲の文学作品が好きだ。,4,8,8_1_4
8_2,今回のゴールは、まさに一つの芸術作品であった。,1,8,8_2_1
9_1,必要に応じて,1,9,9_1_1
9_1,～する必要が ある／ない,2,9,9_1_2
9_1,～する必要を感じる,3,9,9_1_3
9_1,ものを必要以上に買うな。,4,9,9_1_4
9_1,仕事に必要な知識,5,9,9_1_5
9_1,まず簡単な検査を行い、必要なら追加検査を行います。,6,9,9_1_6
10_1,自然環境,1,10,10_1_1
10_1,自然の景色,2,10,10_1_2
10_1,美しい自然を保護しよう。,3,10,10_1_3
10_1,休暇シーズンには自然 を訪れて/に帰って くつろぐ人が多い。,4,10,10_1_4
10_2,自然に順応する,1,10,10_2_1
10_2,自然の理,2,10,10_2_2
10_2,自然の道理に任せる,3,10,10_2_3
10_3,服装が自然だ,1,10,10_3_1
10_3,自然なしぐさ,2,10,10_3_2
10_3,"自然と笑いがこみあげてくる。自然な〜, 〜が自然だ. 自然と, 自然に",3,10,10_3_3
11_1,土器の使用により、食料を貯蔵できるようになった。,1,11,11_1_1
11_1,この技術の使用が増え続けている。,2,11,11_1_2
11_1,コンピュータの広範囲な使用は、人々の生活をより便利でスピーディなものにした。,3,11,11_1_3
12_1,ラジオから楽しい音楽が流れてくる。,1,12,12_1_1
12_1,音楽に合わせておどる,2,12,12_1_2
12_1,クラシック音楽を鑑賞する,3,12,12_1_3
12_1,音楽は感情の表現である。,4,12,12_1_4
13_1,この町内には百世帯以上が生活している。,1,13,13_1_1
13_1,水辺で生活する生きもの,2,13,13_1_2
13_1,夏のキャンプに参加した学生たちは楽しく一緒に生活している。,3,13,13_1_3
13_2,生活水準,1,13,13_2_1
13_2,不況で生活が苦しくなる,2,13,13_2_2
13_2,生活が成り立たない,3,13,13_2_3
13_2,このお金では生活が 難しい／苦しい／ぎりぎりだ。,4,13,13_2_4
13_3,教師生活,1,13,13_3_1
13_3,選手生活,2,13,13_3_2
13_3,私の警察官生活は始まったばかりだ。,3,13,13_3_3
14_1,問題を解く,1,14,14_1_1
14_1,今回の試験問題は計5問だった。,2,14,14_1_2
14_1,練習問題,3,14,14_1_3
14_1,試験問題,4,14,14_1_4
14_2,～問題をとりあげる,1,14,14_2_1
14_2,～問題について議論する,2,14,14_2_2
14_2,原子力発電所の存置問題,3,14,14_2_3
14_3,問題を起こす,1,14,14_3_1
14_3,問題を解決する,2,14,14_3_2
14_3,国際問題に発展する,3,14,14_3_3
14_3,一身上の問題で辞任する,4,14,14_3_4
14_3,その機械にまた問題が発生した。,5,14,14_3_5
15_1,インターネットの発達により、全世界の人々との情報交換が可能になった。,1,15,15_1_1
15_1,可能な限り出席したい。,2,15,15_1_2
15_1,問題を解決できる可能な法案を探す。,3,15,15_1_3
15_2,〔我々はミスが起こり得るあらゆる可能性について予め考慮しておかなければならない。〕,1,15,15_2_1
15_3,〔明日、彼は来るかもしれないし来ないかもしれない。/来る可能性も来ない可能性もある。〕,1,15,15_3_1
16_1,通貨量と物価の関係,1,16,16_1_1
16_1,生産と消費の関係,2,16,16_1_2
16_1,経済と国防の間の関係,3,16,16_1_3
16_1,我々は皆、二人の関係を誤解していた。,4,16,16_1_4
16_2,〔知り合いの つてで/コネを使って 会社に入る〕,1,16,16_2_1
16_3,関係(が) ある/ない,1,16,16_3_1
16_3,このことは彼と関係がない。,2,16,16_3_2
16_3,彼はこの事件と何の関係もない。,3,16,16_3_3
16_3,（あなたが）そのようにしても私には何の関係もない。,4,16,16_3_4
16_3,仕事に関係する資料,5,16,16_3_5
16_4,彼は多くの女性と関係を持った。,1,16,16_4_1
16_4,いつの間にか、彼女は、同僚と関係を持った。,2,16,16_4_2
16_4,二人の間に不適切な関係があった。関係を 持つ/結ぶ，×関係する,3,16,16_4_3
16_5,時間の関係 上/で、ここで終わりにします。,1,16,16_5_1
16_5,彼は体力の関係 上/で、試合から退いた。,2,16,16_5_2
16_5,時間の関係 上/で、我々は詳しい話はできなかった。,3,16,16_5_3
16_6,"〔君はこのことにはこれ以上関わるな。〕関わるな, 口を出す(挟む)な, 首を突っ込むな, ～の出る幕ではない, ～には関係ない, 余計なお世話だ",1,16,16_6_1
17_1,過去や現在よりは未来を重視する,1,17,17_1_1
17_1,午後3時現在の気温,2,17,17_1_2
17_1,現在は2019年7月10日である。,3,17,17_1_3
17_2,飛行機は、現在韓国上空を通過している。,1,17,17_2_1
18_1,大学入試,1,18,18_1_1
18_1,大学に 入る/入学する,2,18,18_1_2
18_1,大学を卒業する,3,18,18_1_3
18_2,市民大学,1,18,18_2_1
18_2,老人大学,2,18,18_2_2
19_1,友人を事業に利用する,1,19,19_1_1
19_1,自分の地位を利用して私利私欲を満たす,2,19,19_1_2
19_2,バス/地下鉄/公共交通機関 を利用する,1,19,19_2_1
19_2,自動販売機を利用する,2,19,19_2_2
19_2,当店を今後も大いにご利用ください。,3,19,19_2_3
20_1,この薬の効果が現れた。,1,20,20_1_1
20_1,練習を一生懸命した効果があった。×効果を見た,2,20,20_1_2
20_2,音響効果,1,20,20_2_1
20_2,今回の作品は音響と照明の効果が非常に良かった。,2,20,20_2_2
21_1,この機械は三つの部分から 成って/構成されて いる。,1,21,21_1_1
21_1,服の袖の部分にレースがついている。,2,21,21_1_2
22_1,多くの方法を試す,1,22,22_1_1
22_1,手段と方法を選ばず,2,22,22_1_2
22_1,それは良い方法ではない。,3,22,22_1_3
22_1,良い方法を考案する,4,22,22_1_4
23_1,この店の営業時間は午前9時から午後6時までである。,1,23,23_1_1
23_1,その店は土曜日にも営業していますか？,2,23,23_1_2
24_1,情報 処理/検索,1,24,24_1_1
24_1,～について情報を 集める(収集する)/探す/得る/流す/漏らす,2,24,24_1_2
24_1,～に関する情報が足りない,3,24,24_1_3
24_1,敵の情報を収集する,4,24,24_1_4
25_1,今日、我が家に特別なお客さんが来た。,1,25,25_1_1
25_1,彼は非常に特別な学生だ。,2,25,25_1_2
25_1,今日は特別に寒い。,3,25,25_1_3
25_1,これは特別に注意して扱わなければならない。,4,25,25_1_4
26_1,彼は教師になることを希望している。,1,26,26_1_1
26_1,各自今年の希望を話してみよう。,2,26,26_1_2
26_1,お前の進路先の希望は何だ？,3,26,26_1_3
26_2,希望を 持つ/抱(いだ)く,1,26,26_2_1
26_2,若者たちに希望を与える,2,26,26_2_2
26_2,希望を 捨てる/失う,3,26,26_2_3
26_3,希望が ある/ない,1,26,26_3_1
27_1,韓国/中国/日本 文化,1,27,27_1_1
27_1,文化の違い,2,27,27_1_2
27_1,どんな民族も彼らなりの文化がある。,3,27,27_1_3
27_2,文化生活を営む,1,27,27_2_1
27_2,朝鮮後期の文化,2,27,27_2_2
28_1,技術が 優れている/秀でている,1,28,28_1_1
28_1,技術を磨く,2,28,28_1_2
28_1,技術の進歩,3,28,28_1_3
28_1,半導体生産技術,4,28,28_1_4
28_1,技術が遅れている,5,28,28_1_5
29_1,基本を 身につける/修める/磨く,1,29,29_1_1
29_1,人民/農業 は国家の基本である｡,2,29,29_1_2
29_2,〔示された方針には 基本的/原則的 に賛成だ。〕,1,29,29_2_1
29_2,〔この冬の兵士の募集作業はだいたい完了した。〕基本的に,2,29,29_2_2
30_1,この単語の意味は何だ？,1,30,30_1_1
30_1,この二つの単語は意味が同じだ。,2,30,30_1_2
30_1,単語の意味を辞書で調べる,3,30,30_1_3
30_1,彼の言葉には 皮肉/風刺 の意味が含まれている。,4,30,30_1_4
30_1,今日の彼の行動の意味がわからない。,5,30,30_1_5
30_2,意味の ある/ない 人生/仕事,1,30,30_2_1
30_2,そういうことをしても何の意味もない。,2,30,30_2_2
30_2,今回の 交渉/協議 で意味のある進展があった。,3,30,30_2_3
31_1,自動 機械/装置,1,31,31_1_1
31_1,このボイラーは一定の温度になれば自動で切れる。,2,31,31_1_2
31_2,規定に3回違反したら、自動解雇だ。,1,31,31_2_1
31_2,彼はそんな言葉を言われると自動的に悪口が飛び出す。,2,31,31_2_2
32_1,本の内容を説明する,1,32,32_1_1
32_1,形式よりも内容が重要である。,2,32,32_1_2
32_1,この文章には特に変わった内容はない。,3,32,32_1_3
32_2,かばんの内容を検査する *中身(なかみ),1,32,32_2_1
33_1,思想/言論 の自由,1,33,33_1_1
33_1,居住移転の自由,2,33,33_1_2
33_1,自由を守るため闘争する,3,33,33_1_3
33_1,望む職業を自由に選択する,4,33,33_1_4
33_1,三つの言語を自由に駆使する,5,33,33_1_5
34_1,簡単な説明をつける,1,34,34_1_1
34_1,簡単な料理,2,34,34_1_2
34_1,問題を簡単に解決する,3,34,34_1_3
35_1,広場の中心に噴水がある。,1,35,35_1_1
35_1,彼を中心として何人かの詩人たちが集まり、文学雑誌を作った。,2,35,35_1_2
35_2,この地域の農業はじゃがいもを中心とする。,1,35,35_2_1
35_3,〔これは去年設立された中国文化研究センターだ。〕➜ センター,1,35,35_3_1
35_4,〔定見がない/軸がぶれる〕,1,35,35_4_1
36_1,最近の 出来事/状況,1,36,36_1_1
36_1,最近まで,2,36,36_1_2
36_1,最近、彼に重要な出来事があった。,3,36,36_1_3
37_1,競技/大会/訓練/討論 に参加する,1,37,37_1_1
37_1,参加を勧める,2,37,37_1_2
37_1,参加を希望する,3,37,37_1_3
38_1,恋愛/見合い 結婚,1,38,38_1_1
38_1,結婚を約束する,2,38,38_1_2
38_1,二人は3年の恋愛の末、結婚にゴールインした。,3,38,38_1_3
39_1,一般常識,1,39,39_1_1
39_1,一般の参加者,2,39,39_1_2
39_1,国民一般の 考え/認識,3,39,39_1_3
39_1,この原則は特殊なものではなく、社会一般に適用されるものだ。,4,39,39_1_4
39_1,これは、よく見られる一般的な状況である。,5,39,39_1_5
39_2,〔人の心は皆同様だ。〕,1,39,39_2_1
39_2,〔この２人は同じくらい背が高い。〕,2,39,39_2_2
40_1,原始/奴隷制/封建/資本主義 社会,1,40,40_1_1
40_1,学校を卒業して社会に出る,2,40,40_1_2
40_1,社会 生活/活動,3,40,40_1_3
40_1,社会に貢献する,4,40,40_1_4
40_2,上流/貴族/軍人 社会,1,40,40_2_1
41_1,保険 会社/契約,1,41,41_1_1
41_1,生命/損害/火災/自動車保険,2,41,41_1_2
41_1,保険に 入る/加入する,3,41,41_1_3
41_1,保険を解約する,4,41,41_1_4
41_2,〔このような計画は安全ではない。〕,1,41,41_2_1
41_3,〔お前が私の言うことを聞けば、間違いは起こらないと保証する。〕,1,41,41_3_1
42_1,小学校,1,42,42_1_1
42_1,中学校,2,42,42_1_2
42_1,高等学校/高校,3,42,42_1_3
42_1,大学,4,42,42_1_4
42_1,学校に入学する,5,42,42_1_5
42_1,学校を卒業する,6,42,42_1_6
42_1,学校に通う,7,42,42_1_7
43_1,油田/鉱山/資源/宅地 開発,1,43,43_1_1
43_2,新製品/新薬/新技術 開発,1,43,43_2_1
43_3,知能/能力 開発,1,43,43_3_1
44_1,金先生,1,44,44_1_1
44_2,小学校/中学校/高校 の先生,1,44,44_2_1
44_2,学校の先生として働く,2,44,44_2_2
44_3,〔うちの夫は体格が良い。〕,1,44,44_3_1
45_1,被害の程度,1,45,45_1_1
45_1,被害がどの程度なのか調べる,2,45,45_1_2
45_2,大概にしろ/程々にしろ/程度というものがある。,1,45,45_2_1
45_2,悪いにも程度があるだろう、それはひどすぎる。,2,45,45_2_2
45_3,"昨日1 0人程度集まった。 *だいたい, ぐらい",1,45,45_3_1
46_1,世界サッカー選手権大会,1,46,46_1_1
46_1,弁論/討論 大会,2,46,46_1_2
46_1,党/代議員/組合員 大会,3,46,46_1_3
46_1,大会を 開催する/開く,4,46,46_1_4
46_1,〜大会に参加する,5,46,46_1_5
46_1,大会で 入賞する/優勝する,6,46,46_1_6
47_1,調査/捜査 結果を発表する,1,47,47_1_1
47_1,経済発展計画を発表する,2,47,47_1_2
47_1,学術誌に研究 結果/成果 を発表する,3,47,47_1_3
47_1,文芸誌に新たな小説を発表する,4,47,47_1_4
47_1,二人は結婚を発表した。,5,47,47_1_5
48_1,私はその人に対して良い印象を持っている。,1,48,48_1_1
48_1,その作品は私に深い印象を 与えた/残した。,2,48,48_1_2
48_1,その人についての初印象は 良かった/悪くなかった。,3,48,48_1_3
49_1,結果ばかりでなく過程も大事だ。,1,49,49_1_1
49_1,調査/捜査/研究/試験/テスト 結果,2,49,49_1_2
49_1,原因と結果の間の因果関係,3,49,49_1_3
