word,meaning,order,numbering
1,ある時刻からある時刻までの間。 ,1,1_1
1,時刻。 ,2,1_2
1,過去から現在を経て未来へと絶え間なく流れて行くもの。 ,3,1_3
1,一日の長さを24で割った長さ。60分の間。,4,1_4
2,物事やサービスの価値をお金で表現したもの。,1,2_1
3,電話機。 ,1,3_1
3,電話機を利用して話をすること。,2,3_2
4,地球上の全ての国を含む人類社会の全体。 ,1,4_1
4,特定の分野の人々の集団、社会や領域。 ,2,4_2
4,特定の分野や範囲。,3,4_3
5,数量や程度が一定の基準よりさらに高いこと。 ,1,5_1
5,先立って話したり書いたりした内容。 ,2,5_2
5,話や文の最後に使用し「終わり」を意味する言葉。 ,3,5_3
5,(用言の連体形に後接して)あることがすでに成り立っているのだから。 ,4,5_4
5,羅列した数量を合計すれば。,5,5_5
6,売り買いする物品。,1,6_1
7,歴史的にある基準により区分した期間。 ,1,7_1
7,現在の時期。または問題となるその時期。 ,2,7_2
7,個人の生涯のうちのある時期。 ,3,7_3
7,長い歳月が流れて古くなった感じがすること。,4,7_4
8,芸術創作活動で作った物。 ,1,8_1
8,実際の芸術作品ではないが、完成度が高く鑑賞の対象とし得るものを比喩的に表す言葉。,2,8_2
9,無くてはならないこと。またはそうしなければならないこと。,1,9_1
10,人間の人為的な開発、変更を経ていない状態や、そのような場所。 ,1,10_1
10,人の力が加えられず、自ずからあることが起きたり、ある状態が成立すること。 ,2,10_2
10,ぎこちなかったり、無理があったりしないこと。,3,10_3
11,ある目的のために、ものや手段を使うこと、用いること。,1,11_1
12,人の声や楽器を用いてリズム、メロディなどで美しい音を作り出す芸術。また、そのような活動の産物。,1,12_1
13,人や動物が一定の環境において活動し生きていくこと。 ,1,13_1
13,衣食住に必要な物品を用意して生存していくこと。生計。 ,2,13_2
13,(職業を表す言葉に後接し)特定の職業を持って生きていくこと。,3,13_3
14,解答を要求する問い。 ,1,14_1
14,論争、議論、研究などの対象。 ,2,14_2
14,悩ましいことやもめごと、トラブル。,3,14_3
15,しようと思えばできること。有り得ること。実現の余地があること。 ,1,15_1
15,可能性。 ,2,15_2
15,～かもしれない。〜する可能性がある。,3,15_3
16,二つ以上の事物や現象の間に存在する関連性。 ,1,16_1
16,人の間の繋がり。つて。コネ。 ,2,16_2
16,ある物事が別の物事に対して持つ影響。 または、そのような影響があること。 ,3,16_3
16,性交をやや婉曲的に表現する言葉。 ,4,16_4
16,あることのために。,5,16_5
16,あることに口を挟んだり、余計な注意を傾ける。余計な関心を持つ。,6,16_6
17,只今の時間。 ,1,17_1
17,今。只今。,2,17_2
18,高等教育を実施する教育機関。 ,1,18_1
18,一般人を対象にする教育機関や教育プログラム。,2,18_2
19,他人や対象を、自身の利益を満たすための方便として使う。 ,1,19_1
19,対象を必要に応じて使う。,2,19_2
20,ある行為によって引き起こされる良い結果。 ,1,20_1
20,演劇、映画などで音声、照明、映像などを利用して人為的にその場に合う雰囲気やリアルさを実感できるようにすること。,2,20_2
21,全体をいくつかに分けたものの一つ。,1,21_1
22,目的を成し遂げるために使う手段。,1,22_1
23,利益を得るために店、会社などの業務をすること。,1,23_1
24,ある対象の事情や内容などに対する知識。,1,24_1
25,普通の物事とは大いに区別され異なること。,1,25_1
26,あることをしたり、あることが起きたりすることを望むこと。 ,1,26_1
26,今後、きっとうまくいくだろうという思い。 ,2,26_2
26,今後、うまくいく可能性。,3,26_3
27,一定の人々の集団が共有する思考、行動、生活の方式。 ,1,27_1
