word,kana,sound,numbering
時間,じかん,jikan,1
価格,かかく,kakaku,2
電話,でんわ,denwa,3
世界,せかい,sekai,4
以上,いじょう,ijou,5
商品,しょうひん,shouhin,6
時代,じだい,jidai,7
作品,さくひん,sakuhin,8
必要,ひつよう,hitsuyou,9
自然,しぜん,shizen,10
使用,しよう,shiyou,11
音楽,おんがく,ongaku,12
生活,せいかつ,seikatsu,13
問題,もんだい,mondai,14
可能,かのう,kanou,15
関係,かんけい,kankei,16
現在,げんざい,genzai,17
大学,だいがく,daigaku,18
利用,りよう,riyou,19
効果,こうか,kouka,20
部分,ぶぶん,bubun,21
方法,ほうほう,houhou,22
営業,えいぎょう,eigyou,23
情報,じょうほう,jouhou,24
特別,とくべつ,tokubetsu,25
希望,きぼう,kibou,26
文化,ぶんか,bunka,27
技術,ぎじゅつ,gijutsu,28
基本,きほん,kihon,29
意味,いみ,imi,30
自動,じどう,jidou,31
内容,ないよう,naiyou,32
自由,じゆう,jiyuu,33
簡単,かんたん,kantan,34
中心,ちゅうしん,chuushin,35
最近,さいきん,saikin,36
参加,さんか,sanka,37
結婚,けっこん,kekkon,38
一般,いっぱん,ippan,39
社会,しゃかい,shakai,40
保険,ほけん,hoken,41
学校,がっこう,gakkou,42
開発,かいはつ,kaihatsu,43
先生,せんせい,sensei,44
程度,ていど,teido,45
大会,たいかい,taikai,46
発表,はっぴょう,happyou,47
印象,いんしょう,inshou,48
結果,けっか,kekka,49
存在,そんざい,sonzai,50
最初,さいしょ,saisho,51
装備,そうび,soubi,52
消費,しょうひ,shouhi,53
採用,さいよう,saiyou,54
全体,ぜんたい,zentai,55
飛行,ひこうき,hikouki,56
国際,こくさい,kokusai,57
企業,きぎょう,kigyou,58
専門,せんもん,senmon,59
中央,ちゅうおう,chuuou,60
普通,ふつう,futsuu,61
経済,けいざい,keizai,62
現代,げんだい,gendai,63
当時,とうじ,touji,64
実際,じっさい,jissai,65
学生,がくせい,gakusei,66
銀行,ぎんこう,ginkou,67
旅行,りょこう,ryokou,68
以下,いか,ika,69
説明,せつめい,setsumei,70
感覚,かんかく,kankaku,71
経験,けいけん,keiken,72
活躍,かつやく,katsuyaku,73
代表,だいひょう,daihyou,74
通信,つうしん,tsuushin,75
主人,しゅじん,shujin,76
安心,あんしん,anshin,77
以外,いがい,igai,78
表現,ひょうげん,hyougen,79
意識,いしき,ishiki,80
非常,ひじょう,hijou,81
活動,かつどう,katsudou,82
運動,うんどう,undou,83
新聞,しんぶん,shinbun,84
理由,りゆう,riyuu,85
指導,しどう,shidou,86
実現,じつげん,jitsugen,87
家庭,かてい,katei,88
変化,へんか,henka,89
位置,いち,ichi,90
種類,しゅるい,shurui,91
完全,かんぜん,kanzen,92
資料,しりょう,shiryou,93
同時,どうじ,douji,94
個人,こじん,kojin,95
政治,せいじ,seiji,96
完成,かんせい,kansei,97
設計,せっけい,sekkei,98
表示,ひょうじ,hyouji,99
芸術,げいじゅつ,geijutsu,100
