meaning,example,order,word,numbering
1_1,근무 시간,1,1,1_1_1
1_1,그 일은 시간이 많이 걸린다.,2,1,1_1_2
1_1,지구가 한 바퀴 자전하는데 걸리는 시간은 24시간이다.,3,1,1_1_3
1_2,비행기 도착 시간을 알려주세요.,1,1,1_2_1
1_2,약속 시간에 늦었다.,2,1,1_2_2
1_2,현재 시간은 3시 15분이다.,3,1,1_2_3
1_3,시간의 흐름,1,1,1_3_1
1_3,그 후로 시간이 많이 흘렀다.,2,1,1_3_2
1_3,시간은 기다려 주지 않는다.,3,1,1_3_3
1_4,공항까지 두 시간 걸린다.,1,1,1_4_1
2_1,적정 가격,1,2,2_1_1
2_1,가격이 오르다,2,2,2_1_2
2_1,보통의 학생은 그렇게 높은 가격의 물건을 살 수 없다.,3,2,2_1_3
3_1,공중전화,1,3,3_1_1
3_1,휴대전화,2,3,3_1_2
3_1,전화번호,3,3,3_1_3
3_1,전화를 놓다/설치하다,4,3,3_1_4
3_2,전화(를) 하다/걸다,1,3,3_2_1
3_2,전화를 받다,2,3,3_2_2
3_2,그는 항상 밤에 전화를 해서 수다를 떤다.,3,3,3_2_3
4_1,세계(의) 인구,1,4,4_1_1
4_1,세계를 여행하다,2,4,4_1_2
4_2,폭력배들 세계에서는 주먹이 곧 법이다.,1,4,4_2_1
4_2,시인의 세계에서 꿈은 아이들만의 것이다.,2,4,4_2_2
4_3,아이들은 항상 미지의 세계를 동경한다.,1,4,4_3_1
4_3,이 소설은 인간의 내면세계를 그렸다.,2,4,4_3_2
4_3,맹인은 볼 수 없지만 그들의 내면 세계는 다채롭다.,3,4,4_3_3
5_1,부장급 이상의 리더,1,5,5_1_1
5_1,나이가 65세 이상인 사람은 입장료가 무료다.,2,5,5_1_2
5_1,5층 이상의 집은 걸어서 올라가기 힘들다.,3,5,5_1_3
5_2,이상에서 살핀 바를 간단히 요약하면 다음과 같다.,1,5,5_2_1
5_2,이상과 다름 없습니다.,2,5,5_2_2
5_2,우리는 이상의 세 가지 요구를 명확히 하고자 한다.,3,5,5_2_3
5_3,내일 잊지 말고 꼭 시간 맞춰 학교에 올 것. 이상!,1,5,5_3_1
5_3,(학회 발표를 마칠 때) 이상입니다.,2,5,5_3_2
5_4,"일이 이렇게 된 이상, 우리도 물러설 수 없다.",1,5,5_4_1
5_4,"결정한 이상, 변경하지 않는다.",2,5,5_4_2
5_5,"참가자는 한국인 10명, 일본인 5명, 중국인 5명, 이상 20명입니다.",1,5,5_5_1
5_5,"남성 8명, 여성 5명, 이상13명. *합계, 계, 도합",2,5,5_5_2
6_1,주력 상품,1,6,6_1_1
6_1,상품을 판매하다,2,6,6_1_2
6_1,상품을 진열하다.,3,6,6_1_3
6_1,백화점에는 온갖 상품이다 있다.,4,6,6_1_4
6_1,건물도 마케팅 전략으로 상품 가치를 높일 수 있다.,5,6,6_1_5
7_1,조선시대/고려시대/삼국시대,1,7,7_1_1
7_1,그런 일은 역사의 어느 시대에나 있었다.,2,7,7_1_2
7_1,지금은 노력하지 않으면 금세 뒤처지는 시대다.,3,7,7_1_3
7_2,시대에 뒤떨어지다,1,7,7_2_1
7_2,시대의 선구자,2,7,7_2_2
7_2,비전이 있는 사람만이 시대를 앞서갈 수 있다.,3,7,7_2_3
7_3,〔청춘 시절〕,1,7,7_3_1
7_3,〔나는 어린 시절로 돌아가고 싶다.〕,2,7,7_3_2
7_3,〔그의 어린 시절의 꿈은 전세계를 여행하는 것이었다.〕➜ 시절,3,7,7_3_3
7_4,〔오래되어 낡은 시계〕,1,7,7_4_1
7_4,〔역사물/사극〕,2,7,7_4_2
7_4,〔아주 오래된 옷〕,3,7,7_4_3
8_1,문학 작품,1,8,8_1_1
8_1,공예 작품,2,8,8_1_2
8_1,그 소설은 문학사에 길이남을 훌륭한 작품이다.,3,8,8_1_3
8_1,나는 장아이링의 문학 작품을 좋아한다.,4,8,8_1_4
8_2,이번 골은 멋진 작품이었다.,1,8,8_2_1
9_1,필요에 따라,1,9,9_1_1
9_1,~할 필요가 있다/없다,2,9,9_1_2
9_1,~할 필요를 느끼다,3,9,9_1_3
9_1,물건을 필요 이상 사지 말아라.,4,9,9_1_4
9_1,일에 필요한 지식,5,9,9_1_5
9_1,"먼저 간단한 검사를 한 뒤,필요하면 추가 검사를 하겠습니다.",6,9,9_1_6
10_1,자연 환경,1,10,10_1_1
10_1,자연 경관,2,10,10_1_2
10_1,아름다운 자연을 보호하자.,3,10,10_1_3
10_1,휴가철에는 자연을 찾아 휴식을 취하는 사람이 많다.,4,10,10_1_4
10_2,자연에 순응하다,1,10,10_2_1
10_2,자연의 이치,2,10,10_2_2
10_2,자연의 이치에 맡기다,3,10,10_2_3
10_3,옷차림이 자연스럽다,1,10,10_3_1
10_3,자연스러운 몸짓/동작,2,10,10_3_2
10_3,"자연스레 웃음이 난다.자연스러운 ～, ～가 자연스럽다, 자연히, 저절로",3,10,10_3_3
11_1,토기의 사용으로 식량을 저장할 수 있게 되었다.,1,11,11_1_1
11_1,이 기술의 사용이 계속 증가하고 있다.,2,11,11_1_2
11_1,컴퓨터의 광범위한 사용은 사람들의 생활을 더욱 편리하고 빠르게 만들었다.,3,11,11_1_3
12_1,라디오에서 신나는 음악이 흘러나온다.,1,12,12_1_1
12_1,음악에 맞추어 춤추다,2,12,12_1_2
12_1,클래식 음악을 감상하다,3,12,12_1_3
12_1,음악은 감정의 표현이다.,4,12,12_1_4
13_1,이 동네에는 백 가구 이상이 생활하고 있다.,1,13,13_1_1
13_1,물가에서 생활하는 생물,2,13,13_1_2
13_1,여름 캠프에 참가한 학생들이 즐겁게 함께 생활하고 있다.,3,13,13_1_3
13_2,생활 수준,1,13,13_2_1
13_2,불황으로 생활이 어려워지다,2,13,13_2_2
13_2,생활이 유지되지 않다,3,13,13_2_3
13_2,이 돈으로는 생활이 어렵다/힘들다/빠듯하다.,4,13,13_2_4
13_3,교사 생활,1,13,13_3_1
13_3,선수 생활,2,13,13_3_2
13_3,나의 경찰 생활이 이제 막 시작되었다.,3,13,13_3_3
14_1,문제를 풀다,1,14,14_1_1
14_1,이번 시험의 문제는 총 5개였다.,2,14,14_1_2
14_1,연습 문제,3,14,14_1_3
14_1,시험 문제,4,14,14_1_4
14_2,~ 문제를 거론하다,1,14,14_2_1
14_2,~ 문제에 대해 논의하다,2,14,14_2_2
14_2,원자력발전소 존치 문제,3,14,14_2_3
14_3,문제를 일으키다,1,14,14_3_1
14_3,문제를 해결하다,2,14,14_3_2
14_3,국제 문제로 발전하다,3,14,14_3_3
14_3,일신상의 문제로 사임하다,4,14,14_3_4
14_3,그 기계에 또 문제가 발생했다.,5,14,14_3_5
15_1,인터넷의 발달로 전 세계사람들과 정보 교환이 가능하게 되었다.,1,15,15_1_1
15_1,가능한 한 참석하고 싶다.,2,15,15_1_2
15_1,문제를 해결할 수 있는 가능한 방안을 찾다.,3,15,15_1_3
15_2,〔우리는 실수가 발생할 수 있는 모든 가능성을 미리 고려해야 한다.〕,1,15,15_2_1
15_3,〔내일 그는 올 수도 안 올 수도 있다./올 가능성도 안 올 가능성도 있다.〕,1,15,15_3_1
16_1,통화량과 물가의 관계,1,16,16_1_1
16_1,생산과 소비의 관계,2,16,16_1_2
16_1,경제와 국방 간의 관계,3,16,16_1_3
16_1,우리 모두 두 사람의 관계를 오해했다.,4,16,16_1_4
16_2,〔연줄을 이용하여 회사에 입사하다〕➜ 연줄,1,16,16_2_1
16_3,관계(가) 있다/없다,1,16,16_3_1
16_3,이 일은 그와 관계가 없다.,2,16,16_3_2
16_3,그는 이 사건과 아무런 관계가 없다.,3,16,16_3_3
16_3,그렇게 해도 나에게는 아무런 관계가 없다.,4,16,16_3_4
16_3,일에 관계된 자료,5,16,16_3_5
16_4,그는 많은 여성과 관계를 맺었다.,1,16,16_4_1
16_4,어느새 그녀는 동료와 관계를 가졌다.,2,16,16_4_2
16_4,"두 사람 사이에 부적절한관계가 있었다.관계를 가지다/맺다, 관계하다",3,16,16_4_3
16_5,시간 관계상/관계로 여기서 끝내겠습니다.,1,16,16_5_1
16_5,그는 체력 때문에 경기를 그만두었다.,2,16,16_5_2
16_5,시간 관계상/관계로 우리는 자세한 이야기를 나누지 못했다.,3,16,16_5_3
16_6,너는 이 일에 더 이상 관계하지 말아라.,1,16,16_6_1
17_1,과거나 현재보다는 미래를 중시하다,1,17,17_1_1
17_1,오후 3시 현재의 기온,2,17,17_1_2
17_1,현재는 2019년 7월 10일이다.,3,17,17_1_3
17_2,비행기는 현재 한국 상공을 지나고 있다.,1,17,17_2_1
18_1,대학 입시,1,18,18_1_1
18_1,대학에 들어가다/입학하다,2,18,18_1_2
18_1,대학을 졸업하다,3,18,18_1_3
18_2,시민 대학,1,18,18_2_1
18_2,노인 대학,2,18,18_2_2
19_1,친구를 사업에 이용하다,1,19,19_1_1
19_1,자기 지위를 이용하여 사리사욕을 채우다,2,19,19_1_2
19_2,버스/지하철/대중교통을 이용하다,1,19,19_2_1
19_2,자동판매기를 이용하다,2,19,19_2_2
19_2,우리 가게를 앞으로도 많이 이용해 주십시오.,3,19,19_2_3
20_1,이 약의 효과가 나타났다.,1,20,20_1_1
20_1,연습을 열심히 한 효과가 있었다/효과를 보았다.,2,20,20_1_2
20_2,음향 효과,1,20,20_2_1
20_2,이번 작품은 음향과 조명효과가 매우 좋았다.,2,20,20_2_2
21_1,이 기계는 3개의 부분으로 이루어져/구성되어 있다.,1,21,21_1_1
21_1,옷의 소매 부분에 레이스가 달려 있다.,2,21,21_1_2
22_1,여러 방법을 시도하다,1,22,22_1_1
22_1,수단과 방법을 가리지 않고,2,22,22_1_2
22_1,그것은 좋은 방법이 아니다.,3,22,22_1_3
22_1,좋은 방법을 생각해 내다,4,22,22_1_4
23_1,이 가게의 영업 시간은 오전 9시부터 오후 6시까지다.,1,23,23_1_1
23_1,그 가게는 토요일에도 영업을 합니까?,2,23,23_1_2
24_1,정보 처리/검색,1,24,24_1_1
24_1,~에 관한 정보를 수집하다/알아보다/얻다/흘리다/누설하다,2,24,24_1_2
24_1,~에 관한 정보가 부족하다,3,24,24_1_3
24_1,적의 정보를 수집하다,4,24,24_1_4
25_1,오늘 우리 집에 특별한 손님이 오셨다.,1,25,25_1_1
25_1,그는 매우 특별한 학생이다.,2,25,25_1_2
25_1,오늘은 특별히 더 춥다.,3,25,25_1_3
25_1,이 물건은 특별히 주의해서 다루어야 한다.,4,25,25_1_4
26_1,그는 교사가 되기를 희망한다.,1,26,26_1_1
26_1,각자 올해의 희망을 말해보자.,2,26,26_1_2
26_1,너는 어떤 진로로 나가기를 희망하니?,3,26,26_1_3
26_2,희망을 갖다/품다,1,26,26_2_1
26_2,젊은이들에게 희망을 불어넣다,2,26,26_2_2
26_2,희망을 버리다/잃다,3,26,26_2_3
26_3,희망이 있다/없다,1,26,26_3_1
27_1,한국/중국/일본 문화,1,27,27_1_1
27_1,문화의 차이,2,27,27_1_2
27_1,어느 민족에게나 그 나름의 문화가 있다.,3,27,27_1_3
27_2,문화 생활을 영위하다,1,27,27_2_1
27_2,조선 후기의 문화,2,27,27_2_2
28_1,기술이 좋다/뛰어나다,1,28,28_1_1
28_1,기술을 연마하다,2,28,28_1_2
28_1,기술의 진보,3,28,28_1_3
28_1,반도체 생산 기술,4,28,28_1_4
28_1,기술이 뒤떨어지다,5,28,28_1_5
29_1,기본을 갖추다/닦다/연마하다,1,29,29_1_1
29_1,백성/농업은 국가의 근본이다.,2,29,29_1_2
29_2,〔제시된 방침에 기본적/원칙적으로 찬성한다.〕,1,29,29_2_1
29_2,〔이번 겨울의 병사 모집은 거의 완료되었다.〕,2,29,29_2_2
30_1,이 단어의 의미가 무엇이냐?,1,30,30_1_1
30_1,이 두 단어는 의미가 같다.,2,30,30_1_2
30_1,단어의 의미를 사전에서 찾아보다,3,30,30_1_3
30_1,그의 말 속에는 비꼬는 의미가 들어 있다.,4,30,30_1_4
30_1,오늘 그의 행동이 무슨 의미인지 모르겠다.,5,30,30_1_5
30_2,의미 있는/없는 삶/일,1,30,30_2_1
30_2,그렇게 하는 것은 아무 의미가 없다.,2,30,30_2_2
30_2,이번 협상에서 의미 있는 진전이 있었다.,3,30,30_2_3
31_1,자동 기계/장치,1,31,31_1_1
31_1,이 보일러는 일정한 온도가 되면 자동으로 꺼진다.,2,31,31_1_2
31_2,규정을 세 번 위반하면 자동 해고다.,1,31,31_2_1
31_2,그는 그런 말을 들으면 자동으로 욕이 튀어나온다.,2,31,31_2_2
32_1,책의 내용을 설명하다,1,32,32_1_1
32_1,형식보다는 내용이 중요하다.,2,32,32_1_2
32_1,이 글은 별다른 내용이 없다.,3,32,32_1_3
32_2,가방의 내용을 검사하다 *내용물,1,32,32_2_1
33_1,사상/언론의 자유,1,33,33_1_1
33_1,거주 이전의 자유,2,33,33_1_2
33_1,자유를 지키기 위해 투쟁하다,3,33,33_1_3
33_1,원하는 직업을 자유롭게 선택하다,4,33,33_1_4
33_1,3개 언어를 자유롭게 구사하다,5,33,33_1_5
34_1,간단한 설명을 붙이다,1,34,34_1_1
34_1,간단한 요리,2,34,34_1_2
34_1,문제를 간단히 해결하다,3,34,34_1_3
35_1,광장 한가운데에 분수가 있다.,1,35,35_1_1
35_1,그를 중심으로 하여 몇몇시인들이 모여 문학 잡지를 만들었다.,2,35,35_1_2
35_2,이 지역 농사는 감자를 중심으로 한다.,1,35,35_2_1
35_3,〔이곳은 작년에 설립된 중국문화연구센터다.〕,1,35,35_3_1
35_4,중심이 흔들리다,1,35,35_4_1
36_1,최근의 일/상황,1,36,36_1_1
36_1,최근까지,2,36,36_1_2
36_1,"최근에, 그에게 중요한 일이 있었다.",3,36,36_1_3
37_1,경기/대회/훈련/토론에 참가하다,1,37,37_1_1
37_1,참가를 독려하다,2,37,37_1_2
37_1,참가를 희망하다,3,37,37_1_3
38_1,연애/중매 결혼,1,38,38_1_1
38_1,결혼을 약속하다,2,38,38_1_2
38_1,두 사람은 3년의 연애 끝에 결혼에 골인했다.,3,38,38_1_3
39_1,일반 상식,1,39,39_1_1
39_1,일반 참가자,2,39,39_1_2
39_1,국민 일반의 생각/인식,3,39,39_1_3
39_1,이 원칙은 특수한 것이 아니라 사회 일반에 적용되는 것이다.,4,39,39_1_4
39_1,이것은 흔히 볼 수 있는 일반적인 상황이다.,5,39,39_1_5
39_2,사람 마음은 다 일반이다.,1,39,39_2_1
39_2,그 둘은 똑같이 키가 크다. *매일반,2,39,39_2_2
40_1,원시/노예제/봉건/자본주의 사회,1,40,40_1_1
40_1,학교를 졸업하고 사회에 나가다,2,40,40_1_2
40_1,사회 생활/활동,3,40,40_1_3
40_1,사회에 공헌하다,4,40,40_1_4
40_2,상류/귀족/군인 사회,1,40,40_2_1
41_1,보험 회사/계약,1,41,41_1_1
41_1,생명/손해/화재/자동차 보험,2,41,41_1_2
41_1,보험에 들다/가입하다,3,41,41_1_3
41_1,보험을 해지하다,4,41,41_1_4
41_2,〔이런 계획은 안전하지 않다.〕,1,41,41_2_1
41_3,〔네가 내 말을 들으면 일이 잘못되지 않을 거라고 보증한다.〕,1,41,41_3_1
42_1,초등학교,1,42,42_1_1
42_1,중학교,2,42,42_1_2
42_1,고등학교,3,42,42_1_3
42_1,대학교,4,42,42_1_4
42_1,학교에 입학하다,5,42,42_1_5
42_1,학교를 졸업하다,6,42,42_1_6
42_1,학교에 다니다,7,42,42_1_7
43_1,유전/광산/자원/택지 개발,1,43,43_1_1
43_2,신제품/신약/신기술 개발,1,43,43_2_1
43_3,지능/능력 개발 *계발(啓發),1,43,43_3_1
44_1,김 선생님,1,44,44_1_1
44_2,초등학교/중학교/고등학교 선생,1,44,44_2_1
44_2,학교 선생으로 일하다,2,44,44_2_2
44_3,〔우리 남편은 체격이 좋다.〕,1,44,44_3_1
45_1,피해 정도,1,45,45_1_1
45_1,피해가 어느 정도인지 알아보다,2,45,45_1_2
