word,meaning,order,numbering
1,어떤 시각에서 어떤 시각까지의 사이. ,1,1_1
1,시각(時刻). ,2,1_2
1,과거로부터 현재를 거쳐 미래로 끊임없이 흘러가는 것. ,3,1_3
1,하루를 24로 나눈 길이. 60분 동안.,4,1_4
2,사물이나 서비스의 가치를 돈으로 나타낸 것.,1,2_1
3,전화기. ,1,3_1
3,전화기를 이용하여 말을 주고받음.,2,3_2
4,지구상의 모든 나라를 포함한 인류 사회 전체. ,1,4_1
4,"특정 분야 사람들의 집단, 사회나 영역. ",2,4_2
4,특정 분야나 범위.,3,4_3
5,수량이나 정도가 일정한 기준보다 더 높음. 그 기준점도 포함됨. ,1,5_1
5,앞서 말하거나 쓴 내용. ,2,5_2
5,말이나 글의 마지막에 써서 ‘끝’을 나타내는 말. ,3,5_3
5,(용언의 관형형 뒤에 써서) 어떤 일이 이미 이루어졌으므로. ,4,5_4
5,앞에서 나열한 수량을 합계하면.,5,5_5
6,사고파는 물품.,1,6_1
7,역사적으로 어떤 기준에 의하여 구분한 기간. ,1,7_1
7,현재 시기. 또는 문제가 되는 그 시기. ,2,7_2
7,개인의 생애 중의 어떤 시기. ,3,7_3
7,오랜 세월이 지나 낡은 느낌이 남.,4,7_4
8,예술 창작 활동으로 만든 것. ,1,8_1
8,실제 예술작품은 아니지만 완성도가 높아 감상의 대상이 될 만한 것을 비유적으로 가리키는 말.,2,8_2
9,있어야 하거나 그렇게 해야 하는 것.,1,9_1
10,"인간의 인위적인 개발, 변경을 겪지 않은 상태나 그러한 장소. ",1,10_1
10,사람의 힘이 더해지지 아니하고 저절로 어떤 일이 일어나거나 어떤 상태가 성립되는 것. ,2,10_2
10,어색하거나 억지스럽지 않음.,3,10_3
11,어떤 목적을 위해 사물이나 수단을 쓰는 것.,1,11_1
12,"사람의 목소리나 악기를 사용하여 박자, 가락 등을 통해 아름다운 소리를 만들어 내는 예술. 또는 그러한 활동의 산물.",1,12_1
13,사람이나 동물이 일정한 환경에서 활동하며 살아감. ,1,13_1
13,필요한 의식주 관련 물품을 마련하여 생존해 가는 것. 생계. ,2,13_2
13,(직업을 나타내는 말 뒤에 쓰여) 특정 직업을 갖고 살아 가는 것.,3,13_3
14,해답을 요구하는 물음. ,1,14_1
14,"논쟁, 논의, 연구 따위의 대상. ",2,14_2
14,골치 아픈 일이나 말썽.,3,14_3
15,할 수 있거나 될 수 있음. ,1,15_1
15,가능성. ,2,15_2
15,~을 수도 있다. ~을지도 모른다. ~을 가능성이 있다.,3,15_3
16,둘 이상의 사물이나 현상 사이에 존재하는 관련성. ,1,16_1
16,사람 사이의 연줄. 특히 남들보다 유리해지도록 그것을 이용하는 경우에 씀. ,2,16_2
16,어떤 사물이나 일이 다른 사물이나 일에 대해 갖는 영향. 또는 그런 영향이 있음. ,3,16_3
16,성교를 완곡하게 이르는 말. ,4,16_4
16,어떤 것 때문에. ,5,16_5
16,어떤 일에 참견을 하거나 주의를 기울임. ,6,16_6
17,지금의 시간. ,1,17_1
17,지금 이 시점에.,2,17_2
18,고등교육을 실시하는 교육기관. ,1,18_1
18,일반인을 대상으로 하는 교육 기관이나 교육 프로그램.,2,18_2
19,다른 사람이나 대상을 자신의 이익을 채우기 위한 방편으로 씀. ,1,19_1
19,대상을 필요에 따라 이롭게 씀.,2,19_2
20,어떤 행위로 말미암아 일어나는 좋은 결과. ,1,20_1
20,"연극, 영화 등에서 소리, 조명, 영상 등을 이용하여 인위적으로 실감나게 하는 것.",2,20_2
21,전체를 몇 개로 나눈 것의 하나.,1,21_1
22,목적을 이루기 위하여 사용하는 수단.,1,22_1
23,"이익을 얻기 위하여 가게, 회사 등의 업무를 하는 것.",1,23_1
24,어떤 대상의 사정이나 내용 등에 대한 지식.,1,24_1
25,보통의 것과 매우 구별되게 다름.,1,25_1
26,어떤 일을 하거나 어떤 일이 일어나기를 바람. ,1,26_1
26,앞으로 잘 될 것이라는 생각. ,2,26_2
26,앞으로 잘 될 가능성.,3,26_3
27,"일정한 사람들의 집단이 공유하는 사고, 행동, 생활의 방식. ",1,27_1
27,"학문, 예술, 종교 등의 정신 활동 및 이를 바탕으로 한 생활 양식.",2,27_2
28,어떤 것을 만들거나 어떤 일을 할 때 잘 할 수 있는 능력.,1,28_1
29,다른 것들을 가능하게 하는 중요한 것. ,1,29_1
29,원칙적으로. 기본적으로. 대부분.,2,29_2
30,"말, 글, 행위 등이 갖는 뜻. ",1,30_1
30,행위의 가치나 의의.,2,30_2
31,기계나 설비 등이 자체 내의 작용에 의해 움직이거나 작동하는 것. ,1,31_1
31,어떤 일이 충분한 생각과 선택을 거치지 않고 곧바로 이루어지는 것.,2,31_2
32,글이나 영상물 등에 들어 있는 것. ,1,32_1
32,"그릇, 상자, 포장 등의 안에 들어 있는 물건.",2,32_2
33,다른 것의 구속을 받지 않고 자기가 하고 싶은 대로 할 수 있는 상태.,1,33_1
34,내용이 적거나 쉽거나 구조가 단순함.,1,34_1
35,사물이나 조직의 한가운데. ,1,35_1
35,여러 가지 사물 중 가장 중요한 것. ,2,35_2
35,어떤 활동을 하기 위해 만들어진 기구나 장소. ,3,35_3
35,확고한 주관이나 줏대.,4,35_4
36,현재에 매우 가까운 과거의 때.,1,36_1
37,"모임, 행사 등에 들어감.",1,37_1
38,남자와 여자가 부부가 되는 것.,1,38_1
39,평범한 보통의 것. ,1,39_1
39,같음. 마찬가지임.,2,39_2
40,인간이 모여 공동의 정치체와 규범의 영향을 받으며 생활하는 장. ,1,40_1
40,"관심사, 성향, 하는 일 등이 비슷한 사람들이 모여 이룬 집단.",2,40_2
41,"여러 사람들이 돈을 적립해 두었다가 어떤 사람에게 사고, 재해 등이 일어나면 모은 돈을 주어 손해를 보상하는 제도. ",1,41_1
41,안전하다. ,2,41_2
41,보증하다.,3,41_3
42,학생들을 교육하는 기관.,1,42_1
43,토지나 천연자원을 유용하게 만듦. ,1,43_1
43,"새로운 물건, 제품, 기술 등을 만듦. ",2,43_2
43,인간의 능력을 발달시킴.,3,43_3
44,나이가 어느 정도 있는 사람을 존중하여 이르는 말. ,1,44_1
44,학생을 가르치는 사람. ,2,44_2
44,자기나 남의 남편.,3,44_3
45,"어떤 성질을 가지거나 보이는 수량, 수준. ",1,45_1
45,"적당한 수량, 수준. ",2,45_2
45,(수량표현 뒤에 써서) 쯤. 가량.,3,45_3
